id,name,host_id,host_name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,number_of_reviews_l30d,calculated_host_listings_count,availability_365,review_scores_rating
13358,Designer Styled One Bedroom Downtown Vancouver,52116,Lynn,49.28201,-123.12669,Entire home/apt,$157.00,2,443,2023-02-24,1,1,212,4.68
13490,Vancouver's best kept secret,52467,Iris,49.25622,-123.06607,Entire home/apt,$150.00,30,96,2022-11-06,0,1,152,4.92
14267,EcoLoft Vancouver,56030,Peter & Alison,49.24922,-123.08139,Entire home/apt,$150.00,3,34,2021-07-14,0,1,0,4.76
14424,Spacious one-bedroom in sought-after Strathcona,56709,Samantha Jo,49.27921,-123.08835,Entire home/apt,$110.00,30,265,2023-01-26,0,4,70,4.69
16254,Close to PNE/Hastings Park Garden level suite,63238,Jason,49.27721,-123.04086,Entire home/apt,$350.00,3,7,2022-07-30,0,1,194,4.57
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,49.26339,-123.07145,Entire home/apt,$100.00,365,3,2018-02-16,0,5,90,4
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,49.25277,-123.03774,Entire home/apt,$195.00,5,7,2021-09-29,0,1,19,5
17765,"Central location, nice little apartment",68672,James,49.26132,-123.10845,Entire home/apt,$94.00,5,203,2021-10-01,0,1,0,4.6
18024,"Centrally located, updated 3bed/1bath garden suite",69472,Raine,49.24781,-123.07241,Private room,$150.00,30,0,,0,1,17,
18270,private rm in clean central 2BR apt,70437,Ran,49.26557,-123.096,Private room,$51.00,30,118,2019-12-31,0,1,226,4.54
18589,Commercial Drive B&B,71508,Sylvain & Alexis,49.27569,-123.07057,Private room,$109.00,1,466,2023-03-12,4,1,0,4.98
18795,*Best choice in downtown-5 Stars * -2,70137,Kai,49.28299,-123.13008,Private room,$68.00,30,130,2023-02-12,1,4,287,4.55
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,49.25636,-123.08636,Entire home/apt,$99.00,30,76,2022-08-28,0,1,212,4.82
21912,PRIVATE ROOM + BATH + KING BED + dedicated entry,83871,Adam,49.23361,-123.05283,Private room,$64.00,30,376,2023-02-28,2,3,103,4.71
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,49.23442,-123.05307,Entire home/apt,$105.00,30,225,2022-12-16,0,3,86,4.74
24273,Walker's paradise in Kitsilano,1267409,Julia,49.26216,-123.1715,Entire home/apt,$140.00,30,16,2021-03-01,0,2,145,5
